record_id,product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
thegioididong_364380,364380,,21.45,1920x1080,120.0,VA,1.0
thegioididong_363460,363460,,27.0,2560x1440,165.0,IPS,0.3
thegioididong_335749,335749,,23.8,1920x1080,100.0,IPS,1.0
thegioididong_334003,334003,,24.5,1920x1080,100.0,IPS,1.0
phongvu_1404339.0,1729,1404339.0,19.5,,60.0,TN,5.0
phongvu_1502539.0,7442,1502539.0,19.5,,60.0,TN,5.0
phongvu_1503218.0,7442,1503218.0,18.5,,60.0,TN,5.0
phongvu_1600185.0,7442,1600185.0,21.5,1920x1080,60.0,TN,5.0
phongvu_1601383.0,7405,1601383.0,23.5,1920x1080,60.0,PLS,4.0
phongvu_1602072.0,1881,1602072.0,27.0,1920x1080,60.0,VA,4.0
phongvu_1810783.0,34842,1810783.0,19.5,,60.0,TN,5.0
phongvu_18120287.0,38053,18120287.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_19040030.0,39568,19040030.0,27.0,1920x1080,60.0,VA,4.0
phongvu_19060085.0,644035,19060085.0,27.0,2560x1440,60.0,IPS,5.0
phongvu_191007010.0,55177,191007010.0,31.5,,60.0,IPS,5.0
phongvu_200200451.0,59669,200200451.0,27.0,1920x1080,280.0,IPS,1.0
phongvu_200200554.0,59779,200200554.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_200201227.0,60542,200201227.0,21.5,1920x1080,75.0,IPS,5.0
phongvu_200400872.0,64915,200400872.0,29.0,,75.0,IPS,5.0
phongvu_200500537.0,591659,200500537.0,19.5,,60.0,TN,5.0
phongvu_200600633.0,39568,200600633.0,31.5,1920x1080,75.0,VA,4.0
phongvu_200600782.0,644189,200600782.0,27.0,2560x1440,165.0,VA,1.0
phongvu_200601200.0,622110,200601200.0,24.0,,75.0,IPS,5.0
phongvu_200601201.0,622111,200601201.0,27.0,2560x1440,75.0,IPS,5.0
phongvu_200700260.0,69289,200700260.0,27.0,2560x1440,75.0,IPS,5.0
phongvu_200700263.0,643807,200700263.0,21.5,1920x1080,60.0,TN,5.0
phongvu_200900219.0,77255,200900219.0,27.0,1920x1080,75.0,IPS,5.0
phongvu_201200061.0,128351,201200061.0,27.0,1920x1080,75.0,IPS,8.0
phongvu_201200062.0,139631,201200062.0,27.0,1920x1080,144.0,IPS,1.0
phongvu_201201627.0,137427,201201627.0,34.0,,144.0,VA,1.0
phongvu_210200899.0,644009,210200899.0,20.7,1920x1080,60.0,TN,5.0
phongvu_210301233.0,178038,210301233.0,27.0,,60.0,IPS,5.0
phongvu_210400403.0,189747,210400403.0,23.8,2560x1440,75.0,IPS,5.0
phongvu_210404451.0,205393,210404451.0,24.0,,,,
phongvu_210404526.0,205468,210404526.0,,,,,
phongvu_210501422.0,220251,210501422.0,27.0,1920x1080,75.0,IPS,5.0
phongvu_210501811.0,228856,210501811.0,27.0,1920x1080,165.0,VA,1.0
phongvu_210501844.0,643985,210501844.0,27.0,2560x1440,170.0,IPS,0.5
phongvu_210501845.0,228889,210501845.0,32.0,2560x1440,165.0,IPS,0.8
phongvu_210501847.0,228891,210501847.0,31.5,2560x1440,165.0,IPS,1.0
phongvu_210501849.0,228894,210501849.0,48.0,,120.0,VA,1.0
phongvu_210502059.0,229043,210502059.0,24.5,1920x1080,240.0,IPS,1.0
phongvu_210502060.0,229044,210502060.0,27.0,1920x1080,144.0,IPS,1.0
phongvu_210502582.0,237957,210502582.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_210601396.0,258865,210601396.0,32.0,1920x1080,60.0,VA,8.0
phongvu_210601738.0,263846,210601738.0,18.5,,60.0,TN,5.0
phongvu_210601996.0,644187,210601996.0,27.0,1920x1080,75.0,IPS,5.0
phongvu_210602226.0,644154,210602226.0,23.8,1920x1080,75.0,IPS,4.0
phongvu_210602227.0,272318,210602227.0,24.0,,60.0,IPS,5.0
phongvu_210602229.0,644153,210602229.0,27.0,1920x1080,75.0,IPS,4.0
phongvu_210602230.0,644155,210602230.0,27.0,,60.0,IPS,4.0
phongvu_210602367.0,276635,210602367.0,34.0,,165.0,VA,1.0
phongvu_210700008.0,296778,210700008.0,27.0,2560x1440,170.0,IPS,1.0
phongvu_210801069.0,644159,210801069.0,23.8,2560x1440,75.0,IPS,4.0
phongvu_210801070.0,365743,210801070.0,23.8,1920x1080,75.0,IPS,4.0
phongvu_210900501.0,376883,210900501.0,34.0,,60.0,IPS,5.0
phongvu_210900504.0,376886,210900504.0,37.5,2560x1440,60.0,IPS,5.0
phongvu_210900553.0,377253,210900553.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_210900554.0,377254,210900554.0,34.0,,60.0,IPS,5.0
phongvu_210900560.0,377260,210900560.0,27.0,1920x1080,165.0,VA,1.0
phongvu_210900611.0,643809,210900611.0,27.0,2560x1440,60.0,IPS,5.0
phongvu_211001503.0,388089,211001503.0,23.6,1920x1080,60.0,,8.0
phongvu_211002912.0,390025,211002912.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_211101724.0,644156,211101724.0,31.5,,60.0,VA,4.0
phongvu_211101726.0,397315,211101726.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_211103371.0,398786,211103371.0,27.0,1920x1080,165.0,VA,1.0
phongvu_211109625.0,404408,211109625.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_211202194.0,407304,211202194.0,32.0,1920x1080,60.0,VA,8.0
phongvu_211202450.0,407563,211202450.0,27.0,1920x1080,75.0,IPS,1.0
phongvu_211203640.0,407966,211203640.0,27.0,1920x1080,240.0,VA,1.0
phongvu_211209689.0,410159,211209689.0,27.0,2560x1440,75.0,IPS,4.0
phongvu_211210634.0,644148,211210634.0,22.0,1920x1080,60.0,VA,5.0
phongvu_220200735.0,644151,220200735.0,23.8,1920x1080,60.0,IPS,8.0
phongvu_220202583.0,416681,220202583.0,28.0,2560x1440,60.0,IPS,4.0
phongvu_220300510.0,128608,220300510.0,31.5,1920x1080,165.0,VA,1.0
phongvu_220400349.0,420576,220400349.0,31.5,1920x1080,75.0,IPS,4.0
phongvu_220401044.0,420959,220401044.0,31.5,2560x1440,165.0,VA,2.0
phongvu_220401045.0,420960,220401045.0,31.5,1920x1080,165.0,VA,5.0
phongvu_220401047.0,420962,220401047.0,27.0,1920x1080,165.0,IPS,1.0
phongvu_220401049.0,420964,220401049.0,27.0,1920x1080,240.0,IPS,1.0
phongvu_220401051.0,420966,220401051.0,23.8,2560x1440,60.0,IPS,5.0
phongvu_220401052.0,420967,220401052.0,27.0,2560x1440,60.0,IPS,5.0
phongvu_220503008.0,424636,220503008.0,34.0,2560x1440,144.0,VA,1.0
phongvu_220605606.0,432208,220605606.0,30.0,,200.0,VA,1.0
phongvu_220605607.0,432209,220605607.0,29.5,,220.0,IPS,1.0
phongvu_220609199.0,437240,220609199.0,32.0,2560x1440,75.0,IPS,4.0
phongvu_220609201.0,437242,220609201.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_220609614.0,437651,220609614.0,24.5,1920x1080,360.0,IPS,3.0
phongvu_220609871.0,437840,220609871.0,27.0,2560x1440,75.0,VA,4.0
phongvu_220609924.0,437892,220609924.0,27.0,2560x1440,165.0,VA,1.0
phongvu_220700392.0,441012,220700392.0,14.0,1920x1080,60.0,IPS,6.0
phongvu_220700393.0,441013,220700393.0,27.0,2560x1440,60.0,IPS,8.0
phongvu_220700394.0,441014,220700394.0,27.0,2560x1440,75.0,IPS,4.0
phongvu_220700395.0,441015,220700395.0,27.0,2560x1440,75.0,IPS,8.0
phongvu_220700396.0,441016,220700396.0,27.0,1920x1080,60.0,IPS,8.0
phongvu_220700424.0,441053,220700424.0,32.0,2560x1440,175.0,IPS,1.0
phongvu_220700425.0,441054,220700425.0,27.0,2560x1440,165.0,IPS,1.0
phongvu_220700536.0,441239,220700536.0,24.0,1920x1080,75.0,VA,4.0
phongvu_220706572.0,442458,220706572.0,27.0,,60.0,IPS,5.0
phongvu_220706581.0,442466,220706581.0,29.0,,75.0,IPS,4.0
phongvu_220706668.0,442596,220706668.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_220800093.0,443171,220800093.0,23.6,1920x1080,75.0,IPS,3.0
phongvu_220802043.0,644050,220802043.0,21.5,1920x1080,75.0,IPS,5.0
phongvu_220802044.0,445794,220802044.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_220802197.0,445987,220802197.0,23.8,1920x1080,2422.0,IPS,4.0
phongvu_220802200.0,445990,220802200.0,30.0,,60.0,IPS,5.0
phongvu_220805992.0,447780,220805992.0,32.0,,60.0,VA,4.0
phongvu_220908261.0,458576,220908261.0,27.0,1920x1080,60.0,IPS,8.0
phongvu_220920751.0,464182,220920751.0,27.0,1920x1080,75.0,IPS,4.0
phongvu_221002845.0,597141,221002845.0,21.45,1920x1080,60.0,VA,5.0
phongvu_221003426.0,466928,221003426.0,,,,,
phongvu_221100446.0,467958,221100446.0,55.0,,165.0,VA,1.0
phongvu_221101488.0,644116,221101488.0,25.0,1920x1080,240.0,IPS,1.0
phongvu_221101489.0,644117,221101489.0,27.0,1920x1080,240.0,IPS,1.0
phongvu_221101490.0,468857,221101490.0,32.0,,60.0,IPS,5.0
phongvu_221201148.0,470392,221201148.0,27.0,1920x1080,75.0,IPS,5.0
phongvu_221201945.0,471206,221201945.0,27.0,1920x1080,170.0,VA,1.0
phongvu_221202061.0,471321,221202061.0,27.0,2560x1440,75.0,IPS,1.0
phongvu_230104455.0,495101,230104455.0,32.0,2560x1440,75.0,IPS,4.0
phongvu_230201390.0,500297,230201390.0,34.0,,175.0,OLED,0.1
phongvu_230201392.0,644107,230201392.0,23.8,1920x1080,170.0,IPS,1.0
phongvu_230201967.0,500829,230201967.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_230300162.0,643915,230300162.0,21.5,1920x1080,75.0,IPS,5.0
phongvu_230300169.0,504833,230300169.0,15.6,1920x1080,60.0,IPS,5.0
phongvu_230300170.0,504834,230300170.0,15.6,1920x1080,60.0,IPS,6.5
phongvu_230300172.0,644113,230300172.0,22.0,1920x1080,75.0,IPS,5.0
phongvu_230302873.0,507331,230302873.0,34.0,,100.0,VA,1.0
phongvu_230302878.0,507336,230302878.0,27.9,1920x1080,60.0,IPS,4.0
phongvu_230304172.0,508191,230304172.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_230400174.0,508998,230400174.0,27.0,,60.0,IPS,5.0
phongvu_230400176.0,509000,230400176.0,23.8,1920x1080,60.0,IPS,5.0
phongvu_230400177.0,509001,230400177.0,27.0,1920x1080,60.0,IPS,5.0
phongvu_230400871.0,509691,230400871.0,27.0,1920x1080,165.0,VA,1.0
phongvu_230400874.0,644100,230400874.0,23.8,1920x1080,75.0,VA,4.0
phongvu_230400875.0,644105,230400875.0,27.0,1920x1080,75.0,VA,4.0
phongvu_230400878.0,644119,230400878.0,23.8,1920x1080,75.0,IPS,4.0
phongvu_230400879.0,597143,230400879.0,23.8,1920x1080,60.0,VA,5.0
phongvu_230401797.0,510887,230401797.0,55.0,,144.0,IPS,9.0
phongvu_230401897.0,510984,230401897.0,23.8,1920x1080,75.0,IPS,4.0
phongvu_230402298.0,511671,230402298.0,27.0,1920x1080,75.0,IPS,5.0
phongvu_230402444.0,512611,230402444.0,34.0,,144.0,IPS,1.0
phongvu_230402696.0,512856,230402696.0,27.0,2560x1440,75.0,IPS,5.0
phongvu_230500316.0,513484,230500316.0,27.0,,144.0,IPS,1.0
phongvu_230500359.0,513527,230500359.0,27.0,1920x1080,165.0,IPS,1.0
phongvu_230500363.0,513531,230500363.0,27.0,2560x1440,60.0,IPS,5.0
phongvu_230502050.0,514750,230502050.0,27.0,1920x1080,180.0,VA,1.0
phongvu_230502051.0,514751,230502051.0,31.5,1920x1080,240.0,VA,1.0
phongvu_230502054.0,514754,230502054.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_230502471.0,515105,230502471.0,32.0,,60.0,VA,4.0
phongvu_230600778.0,515913,230600778.0,23.8,1920x1080,165.0,IPS,1.0
phongvu_230600779.0,515914,230600779.0,27.0,2560x1440,170.0,IPS,1.0
phongvu_230602349.0,516309,230602349.0,27.0,2560x1440,165.0,VA,1.0
phongvu_230604092.0,517895,230604092.0,21.45,1920x1080,75.0,VA,4.0
phongvu_230701231.0,519626,230701231.0,32.0,1920x1080,240.0,VA,1.0
phongvu_230703324.0,521849,230703324.0,55.0,,,VA,8.0
phongvu_230800427.0,523426,230800427.0,23.8,1920x1080,180.0,IPS,1.0
phongvu_230800430.0,523429,230800430.0,21.45,1920x1080,75.0,VA,5.0
phongvu_230803165.0,525681,230803165.0,23.8,1920x1080,270.0,IPS,1.0
phongvu_230803481.0,525861,230803481.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_230901010.0,527505,230901010.0,23.8,,,,
phongvu_230903174.0,528504,230903174.0,24.5,1920x1080,380.0,IPS,1.0
phongvu_230903274.0,528601,230903274.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_230904148.0,529324,230904148.0,18.5,,60.0,TN,5.0
phongvu_231002099.0,531056,231002099.0,21.5,1920x1080,100.0,IPS,1.0
phongvu_231002101.0,531058,231002101.0,27.0,1920x1080,180.0,IPS,1.0
phongvu_231002117.0,531074,231002117.0,27.0,,60.0,IPS,5.0
phongvu_231004174.0,532945,231004174.0,24.5,1920x1080,100.0,IPS,1.0
phongvu_231004175.0,532946,231004175.0,24.5,1920x1080,280.0,IPS,1.0
phongvu_231004176.0,532947,231004176.0,24.5,1920x1080,240.0,IPS,1.0
phongvu_231004177.0,532948,231004177.0,28.0,,144.0,IPS,1.0
phongvu_231004178.0,532949,231004178.0,31.5,2560x1440,170.0,VA,1.0
phongvu_231004180.0,532951,231004180.0,49.0,,144.0,VA,4.0
phongvu_231100708.0,644072,231100708.0,24.0,1920x1080,100.0,IPS,4.0
phongvu_231102959.0,535426,231102959.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_231200931.0,537380,231200931.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_231202224.0,538414,231202224.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_231203207.0,539248,231203207.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_231203208.0,539249,231203208.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_231204286.0,539819,231204286.0,32.0,,144.0,IPS,1.0
phongvu_240100228.0,541490,240100228.0,24.5,1920x1080,180.0,IPS,1.0
phongvu_240100230.0,541492,240100230.0,27.0,2560x1440,180.0,IPS,1.0
phongvu_240100231.0,541493,240100231.0,23.8,1920x1080,75.0,VA,4.0
phongvu_240101307.0,542336,240101307.0,24.0,1920x1080,75.0,VA,4.0
phongvu_240103018.0,543512,240103018.0,24.1,1920x1080,540.0,TN,0.2
phongvu_240103543.0,543642,240103543.0,23.8,1920x1080,120.0,IPS,5.0
phongvu_240201117.0,544867,240201117.0,26.5,2560x1440,240.0,OLED,0.03
phongvu_240300020.0,545358,240300020.0,27.0,2560x1440,120.0,IPS,5.0
phongvu_240300398.0,545633,240300398.0,27.0,1920x1080,100.0,IPS,6.0
phongvu_240300400.0,545635,240300400.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_240300981.0,546114,240300981.0,24.0,1920x1080,75.0,IPS,5.0
phongvu_240302587.0,547971,240302587.0,23.8,1920x1080,120.0,IPS,5.0
phongvu_240302588.0,547972,240302588.0,21.5,1920x1080,100.0,IPS,1.0
phongvu_240400757.0,549010,240400757.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_240400758.0,549011,240400758.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_240403812.0,551974,240403812.0,27.0,2560x1440,180.0,IPS,1.0
phongvu_240403813.0,551975,240403813.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_240502387.0,554186,240502387.0,27.0,1920x1080,100.0,IPS,4.0
phongvu_240502389.0,554188,240502389.0,27.0,2560x1440,180.0,IPS,0.5
phongvu_240502390.0,554189,240502390.0,27.0,2560x1440,180.0,IPS,0.5
phongvu_240502391.0,554190,240502391.0,24.5,1920x1080,390.0,IPS,0.5
phongvu_240502393.0,554192,240502393.0,27.0,,60.0,IPS,5.0
phongvu_240502395.0,554194,240502395.0,34.0,,100.0,VA,5.0
phongvu_240502396.0,554195,240502396.0,27.0,2560x1440,165.0,VA,1.0
phongvu_240502398.0,554197,240502398.0,49.0,2560x1440,240.0,OLED,0.03
phongvu_240502399.0,554198,240502399.0,57.0,UHD,240.0,VA,1.0
phongvu_240504657.0,556702,240504657.0,34.0,,180.0,VA,1.0
phongvu_240504988.0,557172,240504988.0,27.0,2560x1440,100.0,IPS,1.0
phongvu_240504989.0,557173,240504989.0,24.0,1920x1080,100.0,IPS,1.0
phongvu_240602155.0,560801,240602155.0,23.8,1920x1080,100.0,IPS,5.0
phongvu_240602418.0,561060,240602418.0,27.0,2560x1440,75.0,IPS,4.0
phongvu_240602460.0,561105,240602460.0,27.0,,60.0,IPS,4.0
phongvu_240602461.0,561106,240602461.0,27.0,2560x1440,100.0,IPS,1.0
phongvu_240603305.0,561859,240603305.0,27.0,,60.0,IPS,4.0
phongvu_240700514.0,562750,240700514.0,27.0,,160.0,IPS,1.0
phongvu_240702971.0,565119,240702971.0,38.0,2560x1440,144.0,Nano IPS,1.0
phongvu_240706620.0,568721,240706620.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_240800749.0,569241,240800749.0,24.0,1920x1080,180.0,VA,5.0
phongvu_240800750.0,569239,240800750.0,23.8,1920x1080,100.0,IPS,1.0
phongvu_240800751.0,569240,240800751.0,23.8,1920x1080,100.0,IPS,5.0
phongvu_240800752.0,569245,240800752.0,26.0,1920x1080,75.0,IPS,5.0
phongvu_240800755.0,569243,240800755.0,34.0,,100.0,VA,5.0
phongvu_240800758.0,569248,240800758.0,27.0,1920x1080,100.0,IPS,5.0
phongvu_240800759.0,569250,240800759.0,25.0,1920x1080,60.0,IPS,5.0
phongvu_240800923.0,569446,240800923.0,27.0,2560x1440,100.0,IPS,1.0
phongvu_240802260.0,569816,240802260.0,27.0,2560x1440,240.0,IPS,1.0
phongvu_240802757.0,570274,240802757.0,25.0,1920x1080,120.0,IPS,1.0
phongvu_240803396.0,570815,240803396.0,49.0,2560x1440,144.0,OLED,0.03
phongvu_240900419.0,573867,240900419.0,27.0,1920x1080,165.0,IPS,1.0
phongvu_240901541.0,574936,240901541.0,23.8,1920x1080,75.0,IPS,5.0
phongvu_240901664.0,575058,240901664.0,27.0,2560x1440,144.0,IPS,5.0
phongvu_240902432.0,575592,240902432.0,27.0,1920x1080,100.0,IPS,1.0
phongvu_240903516.0,576713,240903516.0,27.0,1920x1080,180.0,IPS,1.0
phongvu_240903518.0,576715,240903518.0,24.0,1920x1080,180.0,IPS,1.0
phongvu_240903519.0,576716,240903519.0,27.0,2560x1440,240.0,IPS,1.0
phongvu_240903729.0,576926,240903729.0,24.5,1920x1080,180.0,IPS,0.5
phongvu_240903730.0,576927,240903730.0,24.5,1920x1080,180.0,IPS,0.5
phongvu_240904490.0,577645,240904490.0,,,,,
phongvu_240904521.0,577676,240904521.0,,1920x1080,75.0,VA,8.0
phongvu_240908497.0,581656,240908497.0,86.0,,60.0,IPS,8.0
phongvu_241000213.0,582685,241000213.0,15.6,1920x1080,60.0,IPS,7.0
