product_id,sku,connection_type,keyboard_type,switch_type,layout,backlight
849865,260201518,Wired,Mechanical,,,
849873,260201519,Wired,Mechanical,,TKL,
849865,260201526,Wired,Mechanical,,,
849880,260201527,Wireless,Mechanical,,TKL,
849884,260201532,Wired,Mechanical,,,
849887,260201533,Wired,Mechanical,,TKL,
850893,260202537,Wireless,Mechanical,,,
850898,260202540,Wired,Mechanical,,,
853597,260300912,Wired,,Red switch,,
853597,260300931,Wired,,Red switch,,
854326,260301633,Wireless,Mechanical,Creamsicle Switch,,
854338,260301646,Wireless,Mechanical,Latte Switch,,
854338,260301653,Wireless,Mechanical,Latte Switch,,
854350,260301659,,Mechanical,Magnetic Switch,,
854357,260301665,,Mechanical,Magetic Switch,,
854370,260301672,,Mechanical,Magnetic Switch,,
854370,260301679,,Mechanical,Magnetic Switch,,
857434,260304418,Wireless,Mechanical,Pink Switch,,
857421,260304420,Wireless,Mechanical,Pink Switch,,
857434,260304426,Wireless,Mechanical,Pink Switch,,
857428,260304429,Wired,Mechanical,Pink Switch,,
857434,260304434,Wireless,Mechanical,Pink Switch,,
857448,260304435,Wireless,Mechanical,Piano Switch,,
857421,260304436,Wireless,Mechanical,Pink Switch,,
857421,260304440,Wireless,Mechanical,Pink Switch,,
857448,260304441,Wireless,Mechanical,Piano Switch,,
857448,260304446,Wireless,Mechanical,Piano Switch,,
857421,260304448,Wireless,Mechanical,Pink Switch,,
860362,260400554,Wired,Mechanical,,,
860335,260400556,Wireless,Mechanical,Red Switch,,
860341,260400561,Wireless,Mechanical,Red Switch,,
860349,260400566,Wired,Mechanical,Magnetic Switch,,
860352,260400569,Wireless,Mechanical,,,
860362,260400574,Wired,Mechanical,,,
862666,260402858,Wired,,Magnetic Switch,,
862679,260402865,Wired,,Gaming Switch,,
862679,260402871,Wired,,Gaming Switch,,
862685,260402878,Wired,,Pro Switch,,RGB
862710,260402889,Wired,,Zenith Switch,,
862710,260402896,Wired,,Zenith Switch,,
862710,260402903,Wired,,Zenith Switch,,
862730,260402909,Wired,,BrightBlade Switch,,
862730,260402916,Wired,,BrightBlade Switch,,
862730,260402923,Wired,,Iceblade Switch,,
862730,260402931,Wired,,Iceblade Switch,,
862730,260402937,Wired,,Iceblade Switch,,
862666,260402944,Wired,,Magnetic Switch,,
862666,260402950,Wired,,Magnetic Switch,,
869636,260501476,Wired,,,,
872090,260503903,Wireless,,,,
872134,260503948,Wired,Mechanical,Purple Switch,,
876965,260508559,Wired,Mechanical,Tactile switch,TKL,
876971,260508565,Wired,Mechanical,Tactile switch,TKL,
876971,260508572,Wired,Mechanical,Tactile switch,TKL,
876965,260508591,Wired,Mechanical,Tactile switch,TKL,
879810,260602174,Wireless,Mechanical,Anya switch,,
879810,260602233,Wireless,Mechanical,Anya switch,,
880225,260602604,Wireless,,,,
880761,260603134,,Membrane/Hybrid,,,
880768,260603142,,Mechanical,Red Switch,,
881523,260700036,Wireless,,Clicky switch,TKL,
881523,260700037,Wireless,,Linear switch,TKL,
883328,260701742,Wireless,,,,
883322,260701766,Wired,Mechanical,Magnetic switch,,
883328,260701771,Wireless,,,,
885309,260703465,Wired,Mechanical,,,
885309,260703471,Wired,Mechanical,,,
886577,260704559,Wireless,Mechanical,X3 switch,,
886579,260704560,Wireless,Mechanical,Pegasus Switch,,
886576,260704562,Wired,Mechanical,Pink switch,,
886579,260704566,Wireless,Mechanical,Pegasus Switch,,
886594,260704567,Wireless,Mechanical,Magnetic switch,,
886586,260704568,Wireless,Mechanical,V3 switch,,
886586,260704572,Wireless,Mechanical,Barbie switch,,
886594,260704574,Wireless,Mechanical,Magnetic switch,,
886577,260704578,Wireless,Mechanical,Seascape switch,,
886576,260704579,Wired,Mechanical,Blue switch,,
886594,260704580,Wireless,Mechanical,Magnetic switch,,
886577,260704584,Wireless,Mechanical,Panda switch,,
886576,260704586,Wired,Mechanical,Blue switch,,
886586,260704588,Wireless,Mechanical,V3 switch,,
886577,260704590,Wireless,Mechanical,Mint switch,,
886607,260704592,Wireless,Mechanical,Red switch,,
886576,260704594,Wired,Mechanical,Pink switch,,
888152,260705968,Wireless,Mechanical,Snow switch,,
888152,260705975,Wireless,Mechanical,Storm switch,,
888172,260705982,Wired,Mechanical,,,
888172,260705989,Wired,Mechanical,,,
888179,260705996,Wireless,Mechanical,,,
888187,260706004,Wireless,Mechanical,,,
888201,260706013,Wireless,Mechanical,,,
888201,260706019,Wireless,Mechanical,,,
890620,260801467,Wired,Mechanical,Iceblade Switch,,
890620,260801471,Wired,Mechanical,Iceblade Switch,,
890620,260801479,Wired,Mechanical,Iceblade Switch,,
890620,260801487,Wired,Mechanical,Iceblade Switch,,
890629,260801491,Wireless,Mechanical,Mechanical Switch,,
890649,260801497,Wired,Mechanical,,,
890649,260801503,Wired,Mechanical,,,
890649,260801510,Wired,Mechanical,,,
890687,260801541,Wireless,Mechanical,,,
890705,260801555,Wired,Mechanical,Iceblade Switch,,
890705,260801556,Wired,Mechanical,Iceblade Switch,,
892714,260803512,Wireless,Mechanical,Sakura Switch,,
892714,260803519,Wireless,Mechanical,Sakura Switch,,
892748,260803537,Wireless,Mechanical,magnetic switch,,
892736,260803538,Wireless,Mechanical,Red Switch,,
892748,260803544,Wireless,Mechanical,magnetic switch,,
892742,260803545,Wired,Mechanical,Red Switch,,
892748,260803549,Wireless,Mechanical,magnetic switch,,
892755,260803550,Wireless,Mechanical,Nebula Switch,,
892761,260803556,Wireless,Mechanical,White switch,,
892755,260803557,Wireless,Mechanical,Nebula Switch,,
892761,260803563,Wireless,Mechanical,White switch,,
892762,260803564,Wireless,Mechanical,Red Switch,,
892768,260803569,Wired,Mechanical,Brown switch,,
892769,260803570,Wireless,,,,
892774,260803576,Wireless,Mechanical,Raindrop switch,,
892775,260803577,Wireless,Mechanical,Red Switch,,
892781,260803583,Wired,Mechanical,Magnetic Switch,,
895198,260805896,Wireless,Mechanical,Vector switch,,
895222,260805905,Wireless,Mechanical,Candy Switch,,
895222,260805913,Wireless,Mechanical,Candy Switch,,
895222,260805919,Wireless,Mechanical,Candy Switch,,
897069,260901678,,,,,
897076,260901686,,Membrane/Hybrid,,,
897090,260901693,,Membrane/Hybrid,,,
897090,260901700,,Membrane/Hybrid,,,
897098,260901708,Wireless,Mechanical,,,
897120,260901715,Wireless,Mechanical,,,
897120,260901722,Wireless,Mechanical,,,
897120,260901729,Wireless,Mechanical,,,
